Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,576.33,99,99,99,98,671555136,40.130001068115234
2,SMMT,Healthcare,Biotechnology,NASDAQ,574.34,99,99,99,95,5601800704,21.90999984741211
3,NEON,Technology,Electronic Components,NASDAQ,527.57,99,99,79,6,30719000,11.09000015258789
4,LUMN,Communication Services,Telecom Services,NYSE,490.3,99,99,11,14,1086092800,7.28000020980835
5,SEZL,Financial Services,Credit Services,NASDAQ,481.08,99,99,99,98,469543264,164.00999450683594
6,ADD,Communication Services,Entertainment,NASDAQ,449.3,99,99,9,2,4945666,1.5399999618530273
7,ASTS,Technology,Communication Equipment,NASDAQ,444.3,99,99,99,4,2532088320,26.610000610351562
8,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,391.41,99,99,99,99,16871360,3.0799999237060547
9,INSG,Technology,Communication Equipment,NASDAQ,370.82,99,99,99,17,103737712,17.170000076293945
10,NISN,Financial Services,Credit Services,NASDAQ,362.27,99,99,27,95,13619664,14.850000381469727
11,COMM,Technology,Communication Equipment,NASDAQ,347.54,99,99,7,1,256855168,6.289999961853027
12,PSNL,Healthcare,Diagnostics & Research,NASDAQ,335.65,99,99,20,14,65442888,5.065000057220459
13,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,335.4,99,99,99,99,497564096,16.520000457763672
14,CADL,Healthcare,Biotechnology,NASDAQ,335.27,99,99,99,85,199960320,6.940000057220459
15,RCAT,Technology,Computer Hardware,NASDAQ,300.97,99,99,88,20,75767136,3.1600000858306885
16,ADMA,Healthcare,Biotechnology,NASDAQ,300.94,99,99,99,94,2461811456,20.030000686645508
17,LENZ,Healthcare,Biotechnology,NASDAQ,298.1,99,99,99,99,467792032,21.540000915527344
18,TLSIW,Healthcare,Medical Devices,NASDAQ,296.65,99,99,99,99,n/a,1.2000000476837158
19,SHCRW,Healthcare,Health Information Services,NASDAQ,294.49,99,99,10,12,n/a,0.0860000029206276
20,DOGZ,Consumer Cyclical,Leisure,NASDAQ,285.74,99,99,99,11,201654288,25.200000762939453
21,LBPH,Healthcare,Biotechnology,NASDAQ,285.24,99,99,99,98,738721920,32.90999984741211
22,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,282.64,99,99,99,99,51737596,9.670000076293945
23,SLNO,Healthcare,Biotechnology,NASDAQ,281.0,99,99,99,99,1734692864,48.13999938964844
24,CRVS,Healthcare,Biotechnology,NASDAQ,278.47,99,98,63,82,116970928,5.440000057220459
25,RAIL,Industrials,Railroads,NASDAQ,273.62,99,98,84,89,67358160,10.140000343322754
26,RNA,Healthcare,Biotechnology,NASDAQ,271.67,99,99,99,99,4130786048,43.5
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,262.92,99,99,95,22,624490496,44.439998626708984
28,AEYE,Technology,Software - Application,NASDAQ,262.38,99,99,99,96,212526320,23.56999969482422
29,CRIS,Healthcare,Biotechnology,NASDAQ,259.39,99,99,99,99,45973824,5.639999866485596
30,QTTB,Healthcare,Biotechnology,NASDAQ,257.79,99,98,51,92,217226800,43.689998626708984
31,POET,Technology,Semiconductors,NASDAQ,256.63,99,97,73,17,126549736,4.400000095367432
32,DAVE,Technology,Software—Application,NASDAQ,251.13,99,99,99,99,470895648,40.0099983215332
33,AGBA,Financial Services,Asset Management,NASDAQ,250.74,99,99,99,7,229691088,1.9800000190734863
34,JANX,Healthcare,Biotechnology,NASDAQ,242.59,99,99,99,99,2094768384,50.2599983215332
35,SCPX,Healthcare,Biotechnology,NYSE MKT,238.11,99,99,0,14,10265812,0.7799999713897705
36,RZLT,Healthcare,Biotechnology,NASDAQ,238.1,99,99,99,95,199377680,4.789999961853027
37,CLOV,Healthcare,Healthcare Plans,NASDAQ,237.72,99,99,94,18,546080704,2.9000000953674316
38,BGM,n/a,n/a,NASDAQ,233.09,99,96,36,22,n/a,8.010000228881836
39,ZETA,Technology,Software—Application,NYSE,232.29,99,98,97,77,3581592576,29.43000030517578
40,AKA,Consumer Cyclical,Internet Retail,NYSE,230.82,99,98,98,94,150772864,24.899999618530273
41,AVAH,Healthcare,Medical Care Facilities,NASDAQ,230.63,99,98,90,93,507880608,5.440000057220459
42,JVA,Consumer Defensive,Packaged Foods,NASDAQ,229.83,99,98,97,90,8163297,3.380000114440918
43,WLFC,Industrials,Rental & Leasing Services,NASDAQ,226.89,99,98,94,56,410781888,135.57000732421875
44,MBRX,Healthcare,Biotechnology,NASDAQ,226.65,99,99,99,99,9199929,2.7100000381469727
45,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,222.36,99,98,5,20,71849184,4.900000095367432
46,CDNA,Healthcare,Diagnostics & Research,NASDAQ,220.47,99,99,94,58,734330176,27.850000381469727
47,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,219.71,99,98,83,18,38072932,0.7699999809265137
48,BYRN,Industrials,Aerospace & Defense,NASDAQ,219.16,99,94,97,99,240324800,16.770000457763672
49,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,218.1,99,99,14,2,10736424,3.9600000381469727
50,BVS,Healthcare,Medical Devices,NASDAQ,216.08,99,98,92,97,371476640,11.359999656677246
51,VKTX,Healthcare,Biotechnology,NASDAQ,213.88,99,99,99,99,6216909824,65.01000213623047
52,ESGL,Industrials,Waste Management,NASDAQ,210.36,99,97,97,11,26217720,1.8539999723434448
53,REAX,Real Estate,Real Estate Services,NASDAQ,209.3,99,99,98,97,728804992,5.599999904632568
54,EWTX,Healthcare,Biotechnology,NASDAQ,208.51,99,97,97,98,1511381888,26.489999771118164
55,CSLR,Technology,Solar,NASDAQ,207.3,99,81,87,8,75117640,2.819999933242798
56,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,206.4,99,99,99,99,12955388928,175.14999389648438
57,CAVA,Consumer Cyclical,Restaurants,NYSE,204.68,99,98,98,93,10877130752,128.27000427246094
58,SPRY,Healthcare,Biotechnology,NASDAQ,200.53,99,97,89,95,878840320,14.09000015258789
59,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,200.25,99,99,19,9,7003263,0.42500001192092896
60,CURI,Communication Services,Broadcasting,NASDAQ,199.62,99,96,93,89,60566304,1.8300000429153442
61,FTAI,Industrials,Rental & Leasing Services,NASDAQ,197.98,99,98,99,96,9574752256,130.0
62,TLN,n/a,n/a,NASDAQ,195.71,98,98,96,91,n/a,181.36000061035156
63,MRT,Technology,Software—Application,NYSE MKT,195.01,98,98,98,36,100945328,1.9800000190734863
64,CATX,Healthcare,Medical Devices,NYSE MKT,194.59,98,99,97,99,804254976,12.229999542236328
65,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,194.32,98,98,70,98,229773744,15.180000305175781
66,CMPO,Industrials,Metal Fabrication,NASDAQ,193.71,98,98,66,69,518202016,13.630000114440918
67,GDS,Technology,Information Technology Services,NASDAQ,193.19,98,97,76,11,1717016704,20.510000228881836
68,RMTI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,193.09,98,96,30,16,56084044,3.9200000762939453
69,APP,Technology,Software - Application,NASDAQ,193.04,98,95,98,98,26597492736,126.12000274658203
70,AQST,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,191.88,98,97,81,98,243983168,4.880000114440918
71,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,191.33,98,99,99,99,41906316,4.150000095367432
72,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,190.94,98,98,95,87,640242240,17.31999969482422
73,LUNR,Industrials,Aerospace & Defense,NASDAQ,190.75,98,74,22,94,215366480,8.029999732971191
74,RGS,Consumer Cyclical,Personal Services,NASDAQ,190.66,98,99,99,8,10647367,23.600000381469727
75,GGAL,Financial Services,Banks - Regional,NASDAQ,189.8,98,97,97,95,6550478336,45.630001068115234
